sample_id	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
ST00047	236	26517	53	45	2746188	30	15	2	42	27	0	2	89	58	264	414	10	2	151	1564	63	458	10	48	4643	71	460633	576	59	30	32	74	95	1351	111945	1158	250	423	92	47	203	1092	6
ST00050	741	34352	240	151	5959847	7	24	8	120	2	0	0	213	593	969	793	28	9	216	3439	311	601	9	26	3571	101	972739	6250	130	133	192	95	159	3528	441960	2753	262	676	227	90	346	2776	2
ST00051	385	31600	133	56	3820925	26	12	7	25	5	6	1	84	106	421	595	34	4	154	3680	107	797	27	46	3508	79	1313472	1147	110	171	78	186	135	1859	105687	1326	319	1142	74	70	364	40876	14
ST00053	42	35672	73	3	571166	5	3	4	1	0	0	0	11	22	57	161	6	0	23	376	21	76	8	7	289	8	235491	267	12	56	15	25	9	387	17255	249	33	220	15	15	47	442	1
ST00054	44	9883	10	12	216322	3	2	1	0	1	0	0	35	44	38	322	4	0	22	305	7	157	5	0	357	6	257995	382	14	15	12	10	15	207	22838	321	41	934	14	8	303	5813189	1
ST00055	659	52160	148	221	4284482	67	24	10	12	17	0	0	69	180	689	947	72	17	184	2852	155	1592	28	129	27098	180	680302	682	126	123	149	667	163	3277	231835	1558	634	741	48	47	332	182551	30
ST00056	517	39049	115	110	7150655	42	25	14	2	4	0	0	89	121	562	979	63	8	162	2500	51	1148	14	43	4348	190	1158337	636	132	118	115	142	210	2465	145411	1684	576	834	62	71	275	17475	10
ST00057	1164	109649	227	230	2354650	54	65	29	34	13	5	1	298	257	1059	1939	114	24	260	4248	120	3427	19	118	206545	229	1264668	944	345	112	235	853	310	5118	439260	2914	1448	2086	84	119	526	6803	60
ST00059	328	23238	76	59	6235532	39	20	10	6	7	0	1	35	173	435	436	44	8	86	1934	97	649	15	50	1447	75	2316286	788	68	44	68	116	76	1649	195204	1080	353	545	40	47	268	4558	5
ST00060	476	32012	161	229	3330574	74	48	24	8	2	0	0	101	250	395	1021	74	3	83	2789	177	980	9	123	1829	85	1301907	696	181	130	53	79	147	2081	98058	1789	522	560	50	101	151	3543244	20
