Sample_ID,ruralurban,Mollicutes,Bacilli,Flavobacteriia,Acidobacteria_Gp4,Deltaproteobacteria,Methanobacteria,Lentisphaeria,Thermoplasmata,Chloroplast,Phycisphaerae,Negativicutes,Synergistia,Fusobacteriia,Erysipelotrichia,Gammaproteobacteria,Clostridia,Bacteroidia,Epsilonproteobacteria,Cytophagia,Betaproteobacteria,Actinobacteria,Alphaproteobacteria,Opitutae,Deinococci,Verrucomicrobiae
085A,urban,0,2.3346754738229,0,0,3.18261612263338,0,0,0,0,0,4.44587710353922,2.28377407830176,0,2.68035627318904,4.07130247875555,5.40455856293105,5.82604761476229,0,0,3.91080167986255,3.02880885844044,0,0,0,4.39602592349983
119A,urban,0,2.4098969191732,1.03524276590085,0,3.4916808401933,0,0,0,0,0,4.13845825275868,1.48481199907569,2.17225240058025,3.57993184047322,5.510242665561,5.61209492759987,5.37469015139228,1.48481199907569,0,3.12709340998279,3.87181041217876,0,0,0,0
082A,urban,0,2.79815075094566,1.32704659572295,0,1.04600172350437,0,0,0,1.32704659572295,0,4.45579334684201,0,0,4.09039311177411,3.17561892014652,5.72239734269252,5.60109334094993,0,0,4.46114450694267,2.74620971898378,1.04600172350437,0,0,2.81191743341034
21A,rural,0,2.57724444576591,0.88139944434052,0,3.33629258678568,2.52907499005052,1.9048405125218,0,0,0,4.48973538055451,2.02842543032913,1.31870547732509,3.49153138972552,3.51931986876328,5.62429076460765,5.71078564769714,0,0,4.32890321253797,3.5429768208237,0,0,0,0.88139944434052
120A,urban,0,2.44848455303437,0,0,3.43568674242915,0,0,0,0,0,4.48289805649819,1.05557163039636,4.17002504240966,3.39956017949166,3.80662797701331,5.6179474955659,5.69480055116382,0,0,4.49803029624875,3.08411554074773,1.05557163039636,0,0,1.72284186191523
7A,rural,0,4.52368164135012,0,0,2.32590245805817,0,0,0,0,0,3.72917604885397,0.868499347959012,0,3.91191710911518,3.42039526879664,5.84631951324498,5.37821808956226,0.868499347959012,0,3.93571718673546,2.86662172161235,0,0,0,0
083A,urban,0,3.00863399073624,1.63810613994928,0,3.11025398555794,0,0,0,1.18052387234334,0,4.20359665864445,1.46698265592649,2.47455351414968,3.49145974053709,3.81558392530958,5.56380743397342,5.73723855837223,0,0,4.71779251252368,3.85422767355333,0,0,0,0
10A,rural,0,4.65606526786539,0,0,2.0816670018867,0,0,0,1.15529827243772,0,4.15927087188171,0,2.5053808497636,3.58331690086504,3.69676994733144,5.78166085679439,5.47690124954944,0,0,3.62084467441709,4.31945479316935,0,0,0,3.10187826115732
101A,urban,0,2.68540330441191,0,0,0,0,0,0,3.14192371016134,0,4.33904087045005,0,2.80717813944604,3.89306124640066,3.40873006323967,5.59104621597386,5.71802861777959,0,0,4.63139332731022,4.00340197463829,0,0,0,0
116A,urban,0,2.85800080537829,0,0,4.22401993618695,0,0,0,1.27370633192679,0,4.89532176982489,1.95377091376587,3.97097528263919,3.66081518373497,4.27853722718719,5.61502948579675,5.65808222484857,0.995206492425494,0,1.99472421882354,3.55862752827912,0,0,0,0
24A,rural,0,3.33360651692148,0,0,3.33634528727383,0,0,0,1.9181744503608,0,4.93936933897741,1.62235641709171,2.13792077435324,3.20689972169488,3.41594798947923,5.70551348427679,5.50424345047375,1.16547917345892,0,3.62057340982285,3.26531751904861,2.09251439562045,0,0,4.85225810591329
39A,rural,0,2.694085074134,0,0,2.79081936880319,0,0,0,0,0,4.45748009651832,1.98650459465076,2.21871710352045,4.03070549871555,3.50810594945686,5.7080537147345,5.60603388308309,0,0,4.60125463211916,3.21271642689609,0,0,0,2.31510187410299
118A,urban,0,2.22286672693296,0,0,1.71679357501262,0,0,0,0,0,4.59346534650316,0,1.13904986307042,3.74687512784107,3.76152954423452,5.70101862222502,5.64997524237219,0,0,1.42402120858988,2.18832120550716,0,0,0,0
109A,urban,0,4.23220434590227,0,0,3.2078256378581,0,0,0,1.2022840655442,0,4.86398002050148,0,4.23334266653185,3.25355621479791,4.67766010661619,5.5299875886222,5.69579456115534,1.95710437535905,0,3.36184220692248,3.59419899040806,0,0,0,2.25573083212231
108A,urban,0,2.95004915746851,0,0,3.23064369015613,0,0,0,0,0,4.33170813099957,2.38707507074657,2.99378135872704,3.57883858913064,5.4046851966313,5.40815542065282,5.65693920663336,0,0,3.83337283985123,2.56257219496323,0,0,0,1.16107375491166
34A,rural,0,2.96727359640368,0,0,0,0,0,0,1.53509568445064,0,4.07046137480667,1.60022906002238,0,3.35494059039951,3.7232636290737,5.81274998312337,5.41805984685848,1.08259787017524,0,3.40035957613857,4.81663919717355,0,0,0,0
18A,rural,0,3.21179408107308,2.19176318873805,0,3.90390401786199,0,0,0,1.33448523071,1.33448523071,4.68590009082225,1.33448523071,3.58001084175981,3.59047355570956,3.33940492184386,5.60890729976739,5.69551249506878,1.33448523071,2.16199939668228,4.4090865113581,3.14989843728722,2.05807894926038,0,1.05310853018989,3.30312100173781
107A,urban,0,2.0572848157292,0,0,3.62469111894888,0,0,0,1.18005337536323,0,4.23533061877229,0,1.46649609628569,3.9343258835571,5.58747312416326,5.41460080147377,5.50655202026886,1.18005337536323,0,3.30592258715045,2.3285061864807,0,0,0,0
31A,rural,0,2.26479655077756,0,0,3.31379313343745,2.18608713067868,0,0,0,0,4.68321932758104,2.08988389685715,0,3.00322368756638,3.50353098659097,5.5123017235723,5.78802583725389,0,0,3.74442807282274,2.58232616156334,0,0,0,1.4982898443285
13A,rural,0,3.44052373717623,0,0,1.18419877273504,0,0,0,0,0,4.53394575412697,0,4.19305938968364,4.06971771445692,3.54586760258079,5.61370453721245,5.70621095917851,1.18419877273504,0,4.02875115405499,3.33685249563344,1.64194940428411,0,0,0
