Sample_ID,ruralurban,Actinomycetales,Lactobacillales,Synergistales,Puniceicoccales,Campylobacterales,Vibrionales,Burkholderiales,Xanthomonadales,Rhodospirillales,Aeromonadales,Clostridiales,Neisseriales,Rhodobacterales,Coriobacteriales,Caulobacterales,Phycisphaerales,Erysipelotrichales,Methanobacteriales,Enterobacteriales,Bdellovibrionales,Victivallales,Thermales,Thermoplasmatales,Pasteurellales,Bacteroidales,Rhizobiales,Mycoplasmatales,Verrucomicrobiales,Bacillales,Selenomonadales,Pseudomonadales,Desulfovibrionales,Oceanospirillales,Sphingomonadales,Cytophagales,Legionellales,Fusobacteriales,Bifidobacteriales,Flavobacteriales,Cardiobacteriales,Alteromonadales,Thiotrichales
120A,urban,1.72348271224804,2.41583518304007,1.05616740143322,0,0,0,4.48340314951166,0,0,2.27381549404749,5.61840536623997,1.05616740143322,0,2.78037363560555,0,0,3.4002131260073,0,3.67812873859772,0,0,0,0,3.08104341711472,5.69545375647557,0,0,1.72348271224804,1.05616740143322,4.48355124165827,0,3.43468585947289,1.62862016887984,0,0,0,4.17067820491299,2.74939274152485,0,0,1.05616740143322,0
7A,rural,2.51525328307906,4.51563832587585,0.869383198752146,0,0.869383198752146,0,3.88086297705685,0,0,0,5.84693829767593,2.06537976394844,0,2.20699993125232,0,0,3.91293904342851,0,3.17213537900489,0,0,0,0,2.99712421499969,5.37924014464222,0,0,0,1.8130858055187,3.73019791775345,0,2.32691969721036,1.30551784351653,0,0,0,0,2.38792008538847,0,0,0,0
083A,urban,0,2.98484983077331,1.46796348109865,0,0,0,4.70638867192757,0,0,0,5.56441990157171,0,0,0,0,0,3.49247484676118,0,3.2888349288536,0,0,0,0,3.63343461989922,5.73825398984168,0,0,0,1.18147237065135,4.20461202850442,0,3.11126863203796,1.18147237065135,0,0,0,2.47556554659126,3.84479998144201,1.63909823604519,0,0,0
10A,rural,2.03215585267212,4.64733759853935,0,0,0,0,3.60656411604918,0,0,1.44202940100182,5.7819270781837,1.15641723312992,0,2.82463486606147,0,0,3.58451957180173,0,3.24253384415581,0,0,0,0,3.49250968951297,5.47810423005506,0,0,3.10308029554404,1.15641723312992,4.16047377314307,0,2.08286003242119,1.44202940100182,0,0,0,2.50658008212983,4.29938641592849,0,0,0,0
101A,urban,1.60562628226327,2.68669683248903,0,0,0,0,4.62044774863541,0,0,1.43488620487693,5.59212401622852,0,0,2.29589483967841,0,0,3.89435727959409,0,3.35583824976363,0,0,0,0,2.0248119623512,5.71932481405832,0,0,0,0,4.34033700991599,0,0,1.60562628226327,0,0,0,2.80847232054892,3.99096564905076,0,0,0,0
116A,urban,1.80126887632478,2.8419729622361,1.9541070335814,0,0.995512036473174,0,1.85840209704947,0,0,0,5.61514448296278,0,0,2.95833147083837,0,0,3.66115500865455,0,4.26566631695051,0,0,0,0,0.995512036473174,5.65842212321488,0,0,0,0,4.89566166461409,0,4.2234368209446,1.9541070335814,0,0,0,3.97131514542718,3.41776633603816,0,0,1.65787740977455,0
24A,rural,1.84116285911565,3.31218956012691,1.6234679671438,0,1.16654016104869,0,3.5847059455381,0,0,0,5.70502719298183,0,0,2.25226629046293,0,0,3.20803769808693,0,3.37159967708963,1.16654016104869,0,0,0,2.13905117911939,5.50538212951504,0,0,4.85339677253578,1.16654016104869,4.94050800850418,0,3.33474467201814,1.6234679671438,0,0,0,2.13905117911939,3.20061831785348,0,0,1.16654016104869,0
39A,rural,2.31779959696999,2.68458089687943,1.98918752130043,0,0,0,4.53232377591233,0,0,2.42002187965616,5.71071787796582,0,0,3.03211220478084,0,0,4.03341605100829,0,3.45782877589041,0,0,0,0,1.17001461426038,5.60874468047123,0,0,2.31779959696999,1.17001461426038,4.46019080635472,0,2.79352579840754,1.62710709627125,0,0,0,2.22141157578627,2.50270887916628,0,0,0,0
118A,urban,1.13921967898082,2.18850312625327,0,0,0,1.13921967898082,1.42419741992021,0,0,0,5.70108024072083,0,0,1.95642508552249,0,0,3.74705820236783,0,3.7318919801395,0,0,0,0,0,5.65015834927891,0,0,0,0,4.59364844915155,0,1.71697316816274,1.89027777694072,0,0,0,1.13921967898082,1.71697316816274,0,0,1.42419741992021,0
109A,urban,2.32312130833312,4.2272594108393,0,0,1.95788754639777,0,3.32434953179748,1.49023269408337,0,1.20302630860914,5.5305497564727,0,0,2.21894844197727,0,0,3.25434767781829,0,4.60193439478107,0,0,0,0,3.8023588955657,5.69658646386842,0,0,2.25651834558367,1.49023269408337,4.86477191398681,0,3.20861705187699,1.95788754639777,0,0,1.20302630860914,4.23413452460782,3.54611595561888,0,0,1.20302630860914,0
108A,urban,0,2.9275996980407,2.39173290032827,0,0,0,3.81236848207241,0,0,1.45136389539941,5.41193868064443,0,0,2.13786785980928,0,0,3.58351427094299,0,5.39211094520086,0,0,0,0,1.74464464804991,5.66161610502715,0,0,1.16542951250796,0,4.33638482291465,0,3.23531786365488,1.62230438632475,0,0,0,2.99845354843991,2.3670129621545,0,0,1.45136389539941,0
34A,rural,1.79400098581582,2.93919722369546,1.6016760518418,0,1.08395954028777,0,3.15071355580838,0,0,0,5.81368877497802,0,0,2.05048640793273,0,0,3.35642412741113,0,3.48051626937416,0,0,0,0,3.29233703597349,5.41954403255823,0,0,0,1.6016760518418,4.07194544018907,0.817325950497701,0,1.36671269434136,0,0,0,0,4.80921306236678,0,0.817325950497701,1.08395954028777,0
18A,rural,1.80312117603419,3.17673346485244,1.33945689094461,0,1.33945689094461,2.62118197912241,4.15830561757084,0,0,1.50887178500116,5.61373334385001,0,1.33945689094461,3.01849815893856,1.33945689094461,1.33945689094461,3.59568376790711,0,2.96303757984549,0,0,1.05786141988529,0,1.72530454656768,5.70072402694085,1.63043345228856,0,3.30832996628809,1.97692850215837,4.69111152636453,1.80312117603419,3.90855640455593,2.53785625900536,1.33945689094461,2.16717526255525,0,3.58522102152394,2.48191389845254,2.19694141783696,0,2.5107852129102,1.50887178500116
107A,urban,1.18517972763449,2.06272370737375,0,0,1.18517972763449,0,3.28318957090836,0,0,1.18517972763449,5.41954351382091,0,0,2.23756018932194,0,0,3.93981192779705,0,5.57899074483809,0,0,0,0,1.18517972763449,5.5120386817509,0,0,0,0,4.2408169801065,1.18517972763449,3.63017650357994,2.00526841419665,0,0,0,1.47179649480655,1.47179649480655,0,0,1.18517972763449,0
31A,rural,1.79412707055863,2.26657202886302,2.09165457290974,0,0,0,3.34659718035406,0,0,0,5.51347571469232,0,0,2.48747944640943,0,0,3.00500707995622,2.18786068482886,3.42324363553511,0,0,0,0,2.36301163087788,5.78981099506695,0,0,1.50001844320999,0,4.68500445135067,1.21250880431803,3.31235002618662,0,0,0,0,0,1.21250880431803,0,0,1.21250880431803,0
13A,rural,2.06255114831874,3.4230201237413,0,0,1.18501702791013,0,3.95576184278467,0,0,1.47162830379168,5.61447433130751,1.18501702791013,0,2.27195579524441,0,0,4.07059312757103,0,3.32320811480046,0,0,0,0,3.09555231044215,5.70708644506177,1.64280494510296,0,0,1.47162830379168,4.53482121615251,0,1.18501702791013,1.18501702791013,0,0,0,4.19393482121428,3.26313137670407,0,0,0,0
