Sample_ID,sample_type,Thermi,Actinobacteria,Bacteroidetes,Cyanobacteria,Deferribacteres,Euryarchaeota,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,TM7,Unassigned,Verrucomicrobia
ST00228,stool,0,3.64614656316876,5.38641293255129,3.2113918932341,0,0,5.84036516553104,0,0,4.24367888999353,0,1.96063360351677,2.2592795666174,0,4.2547296138536,4.348568796074
ST00231,stool,0,3.84886913686363,5.48733332719554,3.27785331277332,0,0,5.80565047946201,0,2.17502616496764,4.22103489116214,0,1.41114975237537,4.30193295860226,1.12665238949532,3.81809331961492,3.09760116665392
ST00232,stool,1.88932013660709,4.07498131662445,5.59071174570376,2.40825856742818,0,0,5.727204380771,0,0,4.78822241046153,0,0,1.88932013660709,3.08815474852017,3.25805700312584,0
ST00234,stool,0,4.3832370876326,5.2022421998297,1.43656793203146,0,1.60732881827654,5.87804700526667,1.43656793203146,0,3.98685869426001,0,4.13305810768913,3.04401833731316,1.82486565821152,4.46453895925649,3.88432611248131
ST00243,stool,0,2.79851798795203,5.74701160344455,0,0,0,5.60137575250361,0,0,4.36291505796401,0,0,0,1.2820494032075,4.26558244675445,0.916869344643071
ST00248,stool,0,4.13490652918532,5.59237780758372,2.4897859355137,0,0,5.75395981520222,0,0,3.82040053691413,0,0,1.48175274120396,1.65304325705541,4.11215256771429,3.889259356258
ST00253,stool,0.924568572014555,4.07072088552901,5.40876337732165,0,0,0,5.84641484872379,0,0,4.2082426369741,0,0,0,1.7799194026095,3.60844764366338,3.97884665173269
ST00259,stool,0,3.74761825076534,5.67084155830238,3.133900560428,0,0,5.6551562391779,0,0,4.58418389571318,0,0,0,0,4.51581184198269,3.08278791969537
ST00266,stool,0,3.37158582688604,5.77061938342933,0,0,0,5.50047514591242,0,0,4.91854168463255,0,0,1.00498825592115,1.81163295473728,3.62264288775988,3.6264021439777
ST00379,stool,1.6081156865305,5.02224186096492,5.15267430407096,2.94019585056423,0,0,5.85791878066741,2.14446771908352,0,3.10949547545693,0,0,2.55273501152447,2.50173450297792,4.25243719255322,4.03188373276802
ST00382,stool,0,3.13271543349037,5.62958827599751,2.44969339513189,0,0,5.71989428337509,0,0,3.53493174711364,0,0,0,2.15020269157609,3.29087619811511,4.62316313375428
ST00383,stool,1.93522366845331,3.85963159774935,5.55840914864186,2.95341362313416,0,0,5.74936317542681,1.82279014168137,1.31488962032748,4.65519387750121,0,1.14918939653433,1.14918939653433,2.86601898294028,3.82699786803735,4.1973519666853
ST00384,stool,0,0,5.55332815766967,0,0,0,5.79247064815496,0,0,4.3492263945913,0,0,0,0,0,0
ST00386,stool,1.61640280187825,4.50614969422563,4.58859398642269,0.95754098894708,0,0,5.96142403883743,3.57901138497044,0,3.47865213172994,0,0,0,2.47645304751948,3.76057261113031,3.09184210733281
ST00387,stool,0,3.45329374499518,5.80183754899368,0,0,0,5.54347439617154,0.89617900626911,0,4.11689086377402,0,0,0,1.33487794143491,2.95161983332944,0
ST00411,stool,0,3.83784545059426,5.360341179896,3.16004679162049,0,0,5.87085904520645,0,0,3.38432148880139,0,0,0,0,4.23359775367691,1.93437827978953
ST00412,stool,0.684711883072161,3.51305778003048,5.6691240146717,1.75115784120979,0,0,5.71028409544384,0.632472853767039,0,3.25358926608966,0,0,0,1.56399495724033,3.62175016595323,4.02860536786297
