Sample_ID,sample_type,Acholeplasmatales,Acidimicrobiales,Actinomycetales,Aeromonadales,Alteromonadales,Anaeroplasmatales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Chromatiales,Clostridiales,Coriobacteriales,Deferribacterales,Deinococcales,Desulfobacterales,Desulfovibrionales,Enterobacteriales,Erysipelotrichales,Fibrobacterales,Flavobacteriales,Fusobacteriales,Hydrogenophilales,Lactobacillales,Legionellales,Mycoplasmatales,Myxococcales,Neisseriales,Nitriliruptorales,Oceanospirillales,Pasteurellales,Pseudomonadales,Puniceicoccales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rhodospirillales,Selenomonadales,Sphingobacteriales,Sphingomonadales,Spirochaetales,Synergistales,Thermales,Thermomicrobiales,Thermotogales,Verrucomicrobiales,Victivallales,Xanthomonadales
ST00193,stool,0,0,2.46838465169748,0,0,0,2.89070986838495,5.54590655691553,1.65276631164255,3.83525542276148,0,0,1.36129133880744,0,5.69591547865533,4.10841301623099,0,0,0,0.920417192668146,1.19454939774989,5.09537411918052,0,1.65276631164255,0,0,3.02662174438932,0,0,0,0,0,0,0,1.57551296198678,0,2.8292768213123,0,0,0,3.67784963126762,0.920417192668146,0,0,0,1.48147884128081,0,0,0.920417192668146,0,0.920417192668146
ST00194,stool,0,0,2.26250655200402,0,0,0,2.26250655200402,5.75242724039157,1.57292587818941,4.48051115159183,0,0,0,0,5.55503527548252,3.39063762285573,0,0,0,3.33950718277722,2.75225782150692,3.55471447730095,0,0,1.57292587818941,0,3.03867587792282,0,0,0,0,0,0,0,0,0,1.74512955563364,0,0,0,4.54230839225175,0,0,0,1.28335409134128,0,0,0,1.8681113732124,0,0
ST00205,stool,0,0,2.36804944921541,0,0,0,2.53898539798297,5.61189482023231,0,3.26094645152893,1.82187189261105,0,0,0,5.6830448640856,2.80372554250029,0,0,0,1.35764732354243,0.66565774896992,3.97335047044668,0,0,0.66565774896992,0,3.68132645088421,0,0,0,0,0,0,0,1.19098331054262,0,1.98774081795912,0,0,0,4.96068539329447,0,0.66565774896992,0,0,0,0,0,1.71459342061725,0,0
ST00207,stool,0,0,3.08930252857889,0,0,0,2.92534782157454,5.72680685945976,0.692059444176819,4.24885554688743,0,0,0,0,5.38395002912596,2.9776772794955,0,0,0,0,5.12581809572123,4.1006198984938,0,0.837689635053316,1.51012325925178,0,3.85934317561143,0,0,0,0,0,0,1.77681760905523,0.471370117857941,0,1.48298809404204,0,0,0,4.69937442578524,0.471370117857941,1.42303191468828,0,0,1.27055796146279,0,0,2.61770551488003,0,0
ST00222,stool,0,0,2.63707132691176,0,0,0,2.66232049169862,5.75654450444158,1.7235365294343,4.11437973391703,0,0,0,0,5.43554851891249,3.80932216995278,0,0,0,3.37503225096736,3.56764394132852,3.20688126439099,0,1.78930913359375,4.61462477533191,0,4.62311915754428,0,0,0,0,0,0.984601188832506,0,1.26252900176901,0,0,0,0,0,4.57679569175962,1.26252900176901,0,0,0,0,0,0,3.87013791464702,0,1.26252900176901
ST00223,stool,0,0,2.2384707004903,0,0,0,2.43213878202273,5.6935684559066,0,3.74994485900069,0,0,0,0,5.60327199338773,3.28942410930213,0,0,0,0,2.46677736070025,4.02747334483298,0,0,0,0,3.50275309524569,0,0,0,0,0,0,1.20333854102799,0.928683490184066,0,1.85801581213738,0,0,0,4.91818433716521,0,0,0,0.928683490184066,0,0,0,0,0,0
ST00226,stool,0,0,2.04996860323044,0,0,0,2.57550981154982,5.50132319685065,1.97156085465295,3.43466683541081,0,0,0,0,5.78678739495163,3.78420518611032,0,0,0,2.35797397122012,2.04996860323044,3.83678052371492,0,1.45936886569321,0,0,3.68173821406293,0,0,0,0,0,0,1.6304039763464,0,0,2.60145613509408,0,0,0,4.66875688336848,1.01140737365416,0,0,1.75279239175971,1.17316343905387,0,0,3.33908895417578,0,0
ST00227,stool,0,0,2.12778165636692,0,0,0,2.97009712439539,5.80022098079379,0,3.02803091112106,0,0,0,0,5.47575138169711,3.81479619475314,0,0,0,0,0,4.60021567616289,0,0,0,0,2.72740787375212,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31488631565699,0,0,0,0,0,0,0,0,0,0
ST00228,stool,0,0,3.43850044218834,0,0,0,3.26248829002418,5.39849746280759,0,3.96558931728502,0,0,0,0,5.74483947716444,3.2167571652256,0,0,0,3.28366628899179,3.81254615536442,4.18913573223127,0,0,0,0,4.39260228156537,0,0,0,0,0,0,2.86490408415651,0,0,0,0,0,0,5.03163229007046,0,0,0,1.96594373354145,0,0,0,4.33415305403265,0,0
ST00231,stool,0,0,2.27545408940294,0,0,0,2.45077693826835,5.50046344656859,1.15828054237479,3.67117738573112,1.4439598980778,0,1.61481128777733,0,5.79716118851142,4.13904137955404,0,0,1.15828054237479,3.59841794519651,3.21364219170561,3.9843942495388,0,1.83242214193239,0,0,3.32587893929016,0,0,0,0,0,0,2.38408643646096,1.15828054237479,2.08484623324511,3.01952673388562,0,0,0,4.2345911670864,0,0,0,1.910537420898,0,0,0,3.07677081792656,2.42966454142701,1.15828054237479
