Sample_ID,sample_type,Lentisphaeria,Saprospirae,4C0d-2,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chloroplast,Clostridia,Coriobacteriia,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichi,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Methanobacteria,Mollicutes,Opitutae,RF3,Sphingobacteriia,Spirochaetes,Synergistia,TM7-3,Unassigned,Verrucomicrobiae
ST00019,stool,0,0,2.60560986750796,1.70999348862219,1.41735018562037,2.78134201223494,5.82444410940046,4.06320703027178,0,5.48702200938515,3.41761104574682,0,0,3.15658943828532,0,3.79668036160559,0,0,1.70999348862219,0,0,0,1.88325280296261,0,0,0,1.41735018562037,3.37372322191356,2.10282262531022
ST00021,stool,0,0,2.0532265443854,2.63395406338416,1.8790520510593,3.41439828542406,5.46048336841162,3.43572832167731,1.58372211129955,5.81945881984805,4.11882188978469,0,0,3.00404044117617,1.29387258338708,4.30626693247253,0,1.29387258338708,0,0,0,0,0,0,0,0,1.29387258338708,3.82273151917138,3.63680441763181
ST00023,stool,0,0,0,2.91141898037979,0,4.19878212708279,5.53037007786227,3.94818309063414,1.93498316111968,5.77730642756408,4.06074019392517,0,0,3.07195117264439,1.11914290217852,3.6792947391609,0,1.57368056509591,3.14957714959745,0,3.98740278405973,0,2.62989885768259,0,0,0,2.51749619799264,3.84604901875857,1.79086817389557
ST00026,stool,0,0,0,3.24167773409595,2.84411098520156,4.22822612874852,5.52337195074867,3.40296847010115,1.94535215581612,5.76705725466607,3.98966122091549,0,0,3.17114058937957,0,4.25005330752561,0,2.24391249583169,0,0,3.26285517839378,0,0,0,0,0,2.24391249583169,4.39526105986593,3.53159104673818
ST00027,stool,2.15351826927838,0,3.54269270856227,2.51974882710833,3.71874247306451,4.49877638360761,5.0567966003672,3.54269270856227,0,5.86237799740443,4.39926544475835,0,0,3.80694314630077,0,3.84948917459884,0,0,2.57757670470891,0,0,0,4.34174218202967,0,0,0,2.2776938951742,4.68364544786072,3.60794207074424
ST00028,stool,0,0,0,2.4660190673743,3.25068201168549,4.34179794933929,5.74059633429099,4.17625358866927,2.10388220123935,5.58618994125713,3.86997788062466,0,0,1.94270623139641,1.22408919229101,4.09885257248606,0,1.7492340478144,2.93822332039706,0,0,0,0,0,0,0,1.51196003033865,3.5821850768222,1.68357478146988
ST00030,stool,0,0,0,2.64528871173484,2.2076726414054,3.58529613802068,5.82497853622503,3.74600479447678,0,5.39635492030798,3.01830196428693,0,0,3.82828582121937,0,4.49054338028102,0,1.61361514729772,1.61361514729772,0,0,0,0,0,0,0,0,4.52823700456153,1.61361514729772
ST00031,stool,0,0,0,2.28913357260673,0,4.51221867632335,5.71619686744253,4.09716328448452,0,5.5714632840539,3.68838559348624,0,0,2.43462348922785,0,3.70195566215041,0,4.57738734731686,4.07932391212375,0,0,0,0,0,0,0,0,3.24138773581664,1.59900016307221
ST00035,stool,0,0,0,3.32504045224086,2.29419755019186,4.44581644729294,5.34561512535228,4.53786364788312,1.17583922023506,5.8056322971762,4.29262814158809,0,1.46213726547515,3.17956905937148,0,4.5842534074473,0,1.17583922023506,3.89949578877846,0,0,0,0,0,0,0,2.14895098128327,3.82716388840112,1.99536787599486
ST00039,stool,0,0,0,0,0,5.09691348735001,5.56330858940591,4.18312464940793,0,5.6364155038293,3.9612948912758,0,0,0,0,4.38723394898901,0,0,0,0,0,0,0,0,0,0,0,4.43838449306036,0
ST00040,stool,0,0,0,4.16118087454821,0,4.4621958878279,5.5590921165859,0,0,5.74093529446619,0,0,0,0,0,0,0,4.16118087454821,0,0,0,0,0,0,0,0,0,4.4621958878279,0
ST00041,stool,0,0,0,2.46731203824834,1.63100865258952,3.18921347783342,5.83483312175958,1.63100865258952,0,5.45074322476536,3.51848947356583,0,0,3.49010299460469,0,4.25824444362715,0,0,3.42707320168012,0,0,0,1.63100865258952,0,0,0,1.92693010078741,3.68151902045811,0
ST00042,stool,0,0,0,3.51646572055983,0,4.51149434619355,5.40204185312469,4.00539684714038,2.26343526911899,5.81682092404704,4.02453000873607,0,2.56327973716567,3.37518742114242,0,3.77964704820837,0,0,2.91480222776149,0,4.21047772520581,0,2.80580871022853,0,0,0,3.30267003661785,3.77301757905475,2.863715753223
