Sample_ID,sample_type,Acidobacteria_Gp2,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chloroplast,Clostridia,Cyanobacteria,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Fibrobacteria,Flavobacteria,Fusobacteria,Gammaproteobacteria,Lentisphaeria,Mollicutes,Negativicutes,Opitutae,Sphingobacteria,Spirochaetes,Synergistia,Thermomicrobia,Thermoprotei,Thermotogae,Verrucomicrobiae
ST00019,stool,0,3.54163368724173,1.70811339736492,2.7215387702072,5.83062988663259,4.05558815365727,0,5.37125401861389,0,0,0,3.18410824952273,0,3.84416047131347,0,0,0,1.41550612908011,0,0,4.80418869119958,0,0,0,1.70811339736492,0,0,0,2.10092022921353
ST00021,stool,0,4.39658692488903,3.07800836440502,3.44577773401136,5.46810526112095,3.45164457909433,1.59062729275558,5.80212993418404,0,0,0,3.01112205236175,1.30060361961838,4.28564822356304,0,1.59062729275558,1.30060361961838,0,0,0,4.1905548345049,0,1.30060361961838,0,0,0,0,0,3.64389137218726
ST00023,stool,0,4.43682006934023,0,4.18704380272364,5.54153078583784,3.95913037877983,1.94994345336615,5.72180665717906,0,0,0,3.05936472997918,1.13314407832395,3.86268251196641,0,0,1.58841653375224,3.1757811585188,0,0,4.79996231005105,0,0,0,0,0,0,0,1.80576045513735
ST00026,stool,0,4.21040687575769,2.90988489564139,4.47756631192784,5.53260069040637,3.4024376099439,1.95989700209456,5.67044322787696,0,0,0,3.18583973328648,0,4.26476139062126,0,1.95989700209456,2.25853890708937,0,0,0,5.06872047496661,0,1.95989700209456,0,2.65503973267176,0,0,0,3.52343948032199
ST00027,stool,0,4.71711273520332,3.97514575785536,4.54368055974597,5.08079093022008,3.5949988936871,0,5.87926342812566,0,0,0,3.81896923204062,0,3.78877919068958,0,1.99722149698533,0,2.53815625213863,2.17185336710402,0,3.57272830700677,1.99722149698533,0,0,2.53815625213863,0,0,0,3.63141928021996
ST00028,stool,0,3.89135561676977,2.0134010661158,4.34810500538679,5.74541968067333,4.17606106943782,2.10278741900356,5.50123251139002,0,0,0,1.94161535772333,1.22305165873608,4.10851206629705,0,0.947259528027816,1.74815024952071,2.94104688522883,0,0,4.82730034109088,0,0.947259528027816,0,0.947259528027816,0,0,0,1.74815024952071
ST00030,stool,0,3.25426268263954,2.51498689562071,3.59744958291153,5.82991746222256,3.75677217950442,0,5.42046599839422,0,0,0,3.84107964709983,0,4.50820867037158,0,0,1.62108642373924,1.62108642373924,0,0,3.9853613690128,0,0,0,0,0,0,0,1.62108642373924
ST00031,stool,0,3.69143156226593,0,4.5102783231547,5.71896645422108,4.10344752210487,0,5.53950929099975,0,0,0,2.43423832605513,0,3.76659074126402,0,0,4.57966237250016,4.08450485239571,0,0,4.3771383892098,0,0,0,1.59862331535875,0,0,0,0
ST00035,stool,0,4.52044361083662,2.61148002353487,4.44225605455057,5.3402770017623,4.55101612207962,1.19210024319457,5.78094063973125,0,0,1.47894862739117,3.17638490590592,0,4.61290149110104,0,1.19210024319457,1.19210024319457,3.91612736656196,0,0,4.46969800467383,0,0,0,0,0,0,0,2.01259571221423
ST00039,stool,0,4.30354038617097,0,5.07120829896433,5.5690116379362,4.15742098623353,0,5.59196077570515,0,0,0,0,0,4.36152963444444,0,0,0,0,0,0,4.78064724760769,0,0,0,3.45857186424182,0,0,0,0
ST00040,stool,0,4.07061798774787,0,4.37162952707296,5.60206107706281,0,0,5.74267971764691,0,0,0,0,0,0,0,0,4.07061798774787,0,0,0,0,0,0,0,0,0,0,0,0
ST00041,stool,0,3.63959634206449,1.62864218067707,3.17490037046286,5.83637069878311,1.62864218067707,0,5.4029977645109,0,0,0,3.48768047819018,0,4.25980543605371,0,0,0,3.43800981942464,0,0,4.49222302777335,0,0,0,0,0,0,0,0
ST00042,stool,0,4.4160297853285,2.27842755808178,4.63407896835774,5.41428045276971,3.98798591452144,2.27842755808178,5.74837916341528,0,0,2.57831230650174,3.37322797675385,0,4.04332920907828,0,0,0,2.92985726875784,0,0,4.93223731389569,0,0,0,0,0,0,0,2.87876854403018
ST00044,stool,0,2.92619891916533,2.28943061690657,3.1711489971681,5.68922463153493,4.79228374097631,0,5.46180826141909,0,0,0,0,1.59929122648606,2.96435992339806,0,0,1.69401036217884,5.16994971207772,0,0,3.90790479134567,0,0,0,0,0,0,0,0
ST00045,stool,0,3.39597228521942,1.07769574502369,3.17466451914487,5.90283344414152,4.55521624351721,1.19345944051683,5.10857934318276,0,0,0.919392770629788,0,0,2.68412428781733,0,0.66773380571058,0,2.80388260048231,0,0,4.49167461669785,0,0.66773380571058,0,0,0,0,0,0
ST00046,stool,0,3.74977318326072,0.904409667477467,4.30192936135565,5.76806682749322,4.52531931036999,2.08067658133551,5.49584477827017,0,0,0,3.48822116452971,0,3.35059037432242,0,1.4638539684598,0.904409667477467,3.30318807712918,0,0,4.52935032029405,0,0.904409667477467,0,0.904409667477467,0,0,0,1.6349413273548
ST00047,stool,0,4.10179910773041,1.97161161887205,5.10323034125993,5.36503121603476,3.71210945154782,1.97161161887205,5.71849974120294,0,0,0,0,1.87585913999504,4.95399549667248,0,0,0,2.0500194579381,0,0,4.01309730998668,0,0,0,0,0,0,0,0
ST00050,stool,0,3.38280447754953,2.5071473238307,4.3559468060005,5.70779385944168,4.01676387960988,2.07454416277518,5.50000502936767,0,0,0,2.51589422844006,1.14862164969703,3.69934642286071,0,0.877389081178275,4.95526174580734,3.66326516638974,0,0,4.5728539591907,0,0,0,0,0,0,0,0.877389081178275
