Sample_ID,sample_type,Cerasicoccales,Saprospirales,Actinomycetales,Anaeroplasmatales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Clostridiales,Coriobacteriales,CW040,Deferribacterales,Deinococcales,Desulfovibrionales,Enterobacteriales,Erysipelotrichales,Flavobacteriales,Fusobacteriales,Gemellales,I025,Lactobacillales,Methanobacteriales,ML615J-28,Mycoplasmatales,Myxococcales,Neisseriales,Oceanospirillales,Pasteurellales,Pseudomonadales,RF32,RF39,Rhizobiales,Rhodospirillales,Rickettsiales,SHA-98,Sphingobacteriales,Sphingomonadales,Spirochaetales,Streptophyta,Synergistales,Syntrophobacterales,Thermales,Turicibacterales,Unassigned,Verrucomicrobiales,Victivallales,Xanthomonadales,YS2
ST00041,stool,0,0,2.46731203824834,0,2.10130506926451,5.83483312175958,0,1.63100865258952,0,0,0,5.45074322476536,3.51848947356583,0,0,0,3.49010299460469,2.82550027746653,4.25824444362715,0,0,1.63100865258952,0,3.09819854975537,0,1.63100865258952,0,0,0,0,3.30218861062335,0,0,0,1.63100865258952,0,0,0,0,0,0,0,0,0,0,2.10130506926451,3.68900549620408,0,0,0,0
ST00042,stool,0,0,3.43731091901246,0,3.53993985706271,5.40204185312469,2.73897510009497,4.00539684714038,0,0,0,5.8167605257687,4.02453000873607,0,0,0,3.37518742114242,2.80580871022853,3.77964704820837,0,0,0,0,4.39621106159852,0,2.80580871022853,0,0,0,0,2.26343526911899,0,0,4.21047772520581,0,0,0,1.96476666395626,0,0,0,2.26343526911899,0,0,2.56327973716567,3.61334928745732,3.89960495339126,2.863715753223,0,0,0
ST00044,stool,0,0,2.1878268263395,0,2.94985023046082,5.6866330069718,1.02404566705663,4.7895026406316,1.59413991945606,0,0,5.47953608851343,2.8388419292997,0,0,0,0,2.42965543237279,2.93562603952547,0,1.59413991945606,1.68883284687695,0,2.67200085574475,0,0,0,0,0,0,0,5.16363946420537,2.159985935917,0,1.02404566705663,0,0,0,0,0,0,0,0,0,0,0,3.13653284728379,0,0,0,0
ST00045,stool,0,0,2.19553194731227,0,2.57328496699844,5.90289016211077,0.916434675632861,4.55436273165323,0,0,0,5.20137724169486,3.37305107129934,0,0,0,0,2.79298227700984,2.62102451076733,0,0,1.07461353386983,0,3.04112394543336,0,0,0,0,0,0,1.07461353386983,1.35696043371279,0.665094547757823,0.665094547757823,1.07461353386983,0,0,0,0,0,0,1.19031118180985,0,0,0.916434675632861,1.47710005446385,2.59781037624682,0,0,0,0
ST00046,stool,0,0,2.28777707259285,0,2.4310517440936,5.7658893145031,0,4.52911487971379,0,0,0,5.53660683036056,3.73717922501252,0,0,0,3.49172700610553,3.26836094752401,3.17910622926283,0,0.897212597515466,1.33600701796438,0,4.29094978099344,0,0.897212597515466,0,0,0,0,2.12043181411141,0,0,1.33600701796438,0,0,0,0,0,0.897212597515466,0,2.09713352347912,1.16981920101093,0,0,0,3.76581932918313,1.62690245774876,0,0,2.8601634731269
ST00047,stool,0,0,2.7020725453006,0,2.51066586941668,5.35669264451468,0,3.71503280640699,1.86211835831516,0,0,5.72642815828736,4.07428931276336,0,0,0,0,2.03621646319332,4.94997537656202,0,0,1.56701352160008,0,5.09227398412733,0,2.89805347498524,0,0,0,0,0,0,1.56701352160008,2.43175254912688,0,0,0,1.27759670865656,0,1.27759670865656,0,1.86211835831516,0,0,0,0,3.87005988280607,0,0,0,2.71728277270143
ST00050,stool,0,0,1.43265202281356,0,2.29358698747722,5.7061404841685,1.43265202281356,4.0118495631948,0.876220868007582,0,0,5.54915610574655,3.36953103695211,0,0,0,2.52312536339059,3.61093181188073,3.66621436171157,0,4.95018329331446,1.93328822337526,0,4.34715233416041,0,0,0,0,0,0,2.57129295356203,1.52634266521104,0,1.14737035083684,1.14737035083684,0,0,0,0,0,0,2.07320841872936,0,0,0.876220868007582,0,3.55394474293478,0.876220868007582,0,0,0.876220868007582
ST00051,stool,0,0,0,0,1.980328814469,5.5512384230573,0,4.34869215506617,0,0,0,5.75499708906908,3.69600745957409,0,0,0,3.67045865527729,1.68381938935012,4.07616768378792,0,0,1.68381938935012,0,2.99738712815378,0,2.52113882596702,0,0,0,0,1.980328814469,0,0,0,0,0,0,1.68381938935012,0,0,0,0,0,0,0,1.68381938935012,4.45578284268097,3.07303793002831,0,0,0
ST00053,stool,0,0,2.17198067784462,0,2.55843027870125,5.59994789674764,0,4.55901316282315,0,0,0,5.72189269033608,3.91208797776047,0,0,0,3.21507021451297,0,4.2597608843189,0,1.70066609198251,1.70066609198251,0,3.40809979067739,0,0,0,0,0,0,2.29618809141891,0,3.72543220047887,0,0,0,0,0,0,0,0,0,0,0,0,2.12119335561982,3.22366519652395,1.91904016499022,0,0,1.82343641568546
ST00054,stool,0,0,3.53375382373608,0,4.16579180863311,4.86363723532936,3.0032518939247,3.27452625041737,0,0,0,5.72851818862642,4.24913630269562,0,0,0,3.53710648830926,0,4.82650720546454,0,0,3.02550673536442,0,3.96715191706347,0,0,0,0,0,0,0,0,2.83864054806197,0,2.32817173874586,1.73218878282113,0,0,0,0,0,2.6002200045142,0,0,2.8216323966168,0,4.15786705291695,5.40792592727193,0,0,0
ST00056,stool,0,0,2.81089362923402,0,2.90988808881602,5.44642831341808,0,3.56952229766528,0,0,0,5.82575420090459,3.57910720663036,0,0,0,3.21505720197892,1.5331030931125,4.33512049583036,0,0,1.70493160481115,0,4.0178495711656,0,0,0,0,0,0,2.22177132603557,0,0,2.52149624702072,2.00165659771608,0,1.2446159039206,0,0,0,0,2.95203628091724,1.2446159039206,0,1.70493160481115,2.22177132603557,3.741680207135,2.97549184933093,0,1.5331030931125,0
ST00057,stool,0,0,3.00516741969991,0,2.97581368201353,5.1425860938451,0,2.88972831544997,1.01904617443533,0,0,5.71694786844535,4.85353733749483,0,0,0,3.46965616584637,2.29975689307335,5.06153984597654,0,1.29877943668156,2.61985035997787,1.58875618776986,3.78228400447721,1.29877943668156,1.76109962070009,0,0,1.58875618776986,0,1.01904617443533,0,2.12475319477561,4.42884168483858,1.01904617443533,0,0,2.85677225018607,0,0,0,0,1.97992664719661,0,1.29877943668156,2.68382479460722,5.0481960335968,1.46753321123746,0,0,2.91038687493485
ST00059,stool,0,0,1.70248342597234,0,2.50133219915312,5.8216893881889,0,4.20166407890982,1.31727871019458,0,0,5.46398616794937,2.74378307104701,0,0,0,3.76278351673731,0,3.42633742156816,0,0,1.95390965827029,0,3.85520952974385,0,0,0,0,1.60772206517694,0,0,0,0,1.03667789617257,1.31727871019458,0,0,0,0,0,0,0,0,0,0,0,4.11541813118395,0,0,0,0
ST00060,stool,0,0,2.40610175590421,0,2.1442786989369,5.73205047380226,0,0,1.6733438546702,0,0,5.56253785035303,3.47373651227023,0,0,0,3.12675335746341,0,4.85282488311996,0,0,0,0,3.02616780370563,0,1.84635292387961,0,0,0,0,0,0,1.38143131660892,0,0,0,0,0,0,0,0,1.38143131660892,0,0,0,0,4.14978306426766,3.59099897326312,0,0,1.38143131660892
ST00062,stool,0,0,2.26512469224255,0,1.87070829395906,5.43623886924797,0,3.74284509787738,1.57548818728519,0,0,5.83725453526224,3.29640291935808,0,0,0,2.7406706742198,1.87070829395906,3.64667298639175,0,1.57548818728519,0,0,2.71076380908233,0,3.804407020644,0,0,0,0,0,0,0,2.7406706742198,0,0,0,2.4683592871555,0,0,0,0,1.57548818728519,0,0,3.22680515878252,4.12492358900583,3.55954458215147,2.26512469224255,0,0
ST00063,stool,0,0,1.01880506514155,0,2.20823366665287,5.45571402651436,0,4.0231819833577,0,0,0,5.83159361962018,3.77793378625318,0,0,0,3.05825295208365,0,4.03393329008978,0,1.58849642718483,1.76083760808258,0,2.74671850032759,0,0,0,0,0,0,0,0,1.01880506514155,0,0,0,0,0,0,0,0,1.826706972177,0,0,0,1.01880506514155,3.81021097476339,0,0,0,0
