ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Paraprevotella	0.0	75997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24499	0.0	0.0	0.0	248773	10161	254105	0.0	114616	0.0	1609	11346	44793	54014	0.0	0.0	25610	24575	0.0	35219
Prevotella	1034466	0.0	0.0	342	1817315	0.0	0.0	0.0	0.0	0.0	0.0	753043	294	0.0	0.0	207	27	0.0	0.0	0.0	1285305	0.0	239	24	0.0	1255389	365923	1372904	673	842	1384884	997094	1709356	590	642128	851656	656	1657746	0.0	0.0
Alistipes	1906	268336	142086	193865	0.0	0.0	62450	166982	0.0	319424	18774	129359	77000	210776	5362	260286	160078	12851	64286	368906	8686	408294	234778	155256	465931	75681	55764	243395	794551	33782	34972	13917	164231	8562	42297	18824	15728	159415	82767	14701
Candidatus_Saccharibacteria_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus_Saccharibacteria_noname_unclassified	0.0	0.0	0.0	0.0	0.0	123	0.0	0.0	0.0	0.0	144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gemella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90
Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Granulicatella	0.0	0.0	149	0.0	0.0	428	0.0	0.0	0.0	0.0	329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76	0.0	0.0	412	76	0.0	0.0	144	0.0	894	0.0	67	0.0	0.0	208	0.0	0.0	521
Enterococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2420	0.0	0.0	933	5264	0.0	0.0	0.0	0.0
Lactobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2634	0.0	0.0	288	0.0	0.0	0.0	24342	272270	0.0	0.0	0.0	46885	0.0	0.0	259	0.0	191082	0.0	0.0	0.0	0.0	0.0	370	0.0	902	0.0	27545	0.0	0.0	0.0	0.0
