ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Clostridiales_noname	41	228	675	0.0	950	3368	0.0	2633	4270	0.0	261	925	3591	194	40	340	0.0	6575	5383	238	0.0	58	4583	0.0	259	0.0	2676	0.0	0.0	2262	0.0	0.0	700	0.0	0.0	0.0	594	0.0	394	0.0
Eubacteriaceae	171695	17319	186	918854	5282	434982	113124	275	466	261888	533072	103864	2965	10671	30850	125065	436288	660	1302533	72410	169926	220094	89761	529529	13092	85005	10425	242621	39364	91336	67169	15536	53175	32921	117055	204383	226441	395140	205273	229401
Lachnospiraceae	250971	188455	375408	283186	65428	350085	221950	44255	50822	264072	338950	218367	441539	144173	52130	500046	388190	224083	194177	122456	196151	70926	273470	204925	92408	134353	316154	209510	39188	525756	108379	131256	141541	176715	209263	66273	580706	56753	500398	842979
Oscillospiraceae	9214	4290	4815	14898	29962	0.0	3188	7279	0.0	3633	2998	3770	26416	5049	5855	0.0	1437	0.0	77131	7549	1576	29948	8338	2863	4632	725	0.0	8280	3983	14926	3724	33	9312	446	135	0.0	908	6726	7889	100
Peptostreptococcaceae	980	1546	1939	0.0	638	7756	0.0	0.0	970	0.0	0.0	0.0	64	970	970	2834	4848	326	0.0	2288	0.0	0.0	2909	783	0.0	970	978	988	202	5817	1939	970	970	0.0	0.0	0.0	15513	0.0	2909	1925
Ruminococcaceae	375924	278453	433672	746372	221963	172792	234281	72940	1878	379898	359173	602682	287227	220489	185854	377163	821049	376	261120	285150	314608	659524	247307	290550	260796	450698	66109	286197	500204	165391	121470	177473	186962	1346371	255544	445477	197429	212770	359347	1430319
Erysipelotrichaceae	123	3694	1726	395	95	39	236	1421	2327	143	9286	546	2309	7110	3291	4281	0.0	6760	5287	0.0	0.0	3020	3455	150	618	112	7720	1021	0.0	3195	11217	12868	0.0	0.0	3323	17856	923	28254	424	7265
Acidaminococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34922	0.0	0.0	0.0	0.0	0.0	0.0	62887	0.0	0.0	70079	0.0	0.0	0.0	0.0	0.0	0.0	100185	0.0	0.0	0.0	74282	99418	0.0	0.0	0.0	0.0
Veillonellaceae	145652	145509	0.0	3707	12079	19501	93626	590830	796148	6871	219464	167731	0.0	0.0	0.0	221787	52817	0.0	0.0	0.0	157272	49	130710	77154	22360	150392	130111	19449	369828	0.0	1009	156350	55529	20253	15910	24870	4350	92202	32509	4912
Fusobacteriaceae	0.0	0.0	3777	0.0	0.0	0.0	0.0	17208	967	0.0	351006	21327	775	0.0	0.0	0.0	0.0	2095	0.0	0.0	0.0	6478	17624	0.0	2923	0.0	104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2846	0.0	0.0	0.0	0.0	0.0
Leptotrichiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	538	0.0	0.0	0.0	0.0
Burkholderiales_noname	5552	7244	18647	2533	2715	347	0.0	5330	6275	12887	0.0	33698	13961	0.0	0.0	0.0	905	0.0	0.0	0.0	0.0	3718	0.0	2848	5618	0.0	0.0	2308	1925	4754	820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3276	0.0
Oxalobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	1471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	906	0.0	0.0	0.0	1117	4066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sutterellaceae	12449	20395	6755	847	8131	5985	0.0	2194	2912	4262	0.0	17179	4620	1705	155	140493	10210	0.0	0.0	2583	35449	6681	15958	5559	4341	10849	546	91573	6266	14982	3472	8077	0.0	157	2867	3554	49366	8018	2519	0.0
Desulfovibrionaceae	0.0	0.0	7769	0.0	7830	0.0	0.0	0.0	0.0	9323	0.0	7729	0.0	23380	10451	15038	288	24167	0.0	13248	7180	19354	0.0	7036	56579	4507	59838	6793	15027	7092	3135	2520	7182	0.0	2939	1062	631	760	18507	716
Aeromonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Succinivibrionaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1017	0.0	0.0	0.0
Enterobacteriaceae	17638	5476	27441	626754	48495	65592	4320	20519	44114	38871	55127	10260	8142	1818268	2071363	222543	14629	32399	19979	1605474	44676	30784	9497	85124	0.0	142973	57125	7061	6648	38961	650	147187	17819	30872	356153	297973	17279	5729	44016	9814
Pasteurellaceae	728	152	41430	0.0	0.0	15469	0.0	0.0	2485	970	5272	0.0	0.0	0.0	0.0	16735	22829	0.0	0.0	0.0	306	1341	3059	16359	0.0	8081	1045	2324	179	1099	831	2219	0.0	7445	928	17519	0.0	0.0	0.0	2990
Spirochaetaceae	9222	7484	0.0	0.0	0.0	0.0	3298	0.0	0.0	3384	6781	0.0	0.0	0.0	0.0	0.0	0.0	6049	11161	12604	0.0	8054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Synergistaceae	26	0.0	0.0	0.0	876	0.0	0.0	0.0	0.0	0.0	278	0.0	0.0	0.0	542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobiaceae	0.0	841	0.0	0.0	23424	0.0	3421	0.0	0.0	31411	0.0	0.0	0.0	0.0	0.0	0.0	6041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6965	1616	0.0	0.0	192437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Saccharomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Myoviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6285	0.0	0.0	0.0	0.0	0.0	668
Podoviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	0.0	44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Retroviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Virgaviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12	0.0	13
Viruses_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
