Sample_Names,Alias,Geography,Euryarchaeota,Actinobacteria,Bacteroidetes,Chlamydiae,Deferribacteres,Deinococcus_Thermus,Fibrobacteres,Firmicutes,Fusobacteria,Proteobacteria,Spirochaetes,Verrucomicrobia,Apicomplexa,Ascomycota,Microsporidia
ERR1135269,PIG-102,France,3.49636079679846,3.43542523895686,5.72698267096939,1.88263142871567,0,0,0,5.64186490663735,0,3.35707521687808,4.26546967573246,0,0,0,3.21994331045835
ERR1135270,PIG-103,France,3.21680581941109,2.32440840633865,5.63502647122465,2.7294005839694,0,0,0,5.75057274990722,0,3.2000224182847,3.14564202759891,0,0,0,0
ERR1135271,PIG-104,France,0,2.40531645677375,5.91866351659323,0,0,0,0,5.22822031092439,0,2.79552005882094,2.896693492695,0,0,0,0
ERR1135272,PIG-105,France,0,1.67044932913449,5.7621540576679,0,0,0,0,5.62398388059995,0,2.53637342621033,2.77971148221031,0,0,0,0
ERR1135273,PIG-106,France,0,1.83149377028184,5.75253822338169,0,0,0,0,5.63500448789004,0,3.33424613815876,2.79036744828973,0,0,0,0
ERR1135274,PIG-107,France,0,2.55979030762726,5.88317772342944,0,0,0,0,5.36353680456585,0,3.45116289873515,3.23241477768482,0,0,0,0
ERR1135275,PIG-108,France,0,2.77750036944524,5.85383967614827,0,2.22618809191227,0,0,5.44685576242716,0,3.64925088400639,2.87018198181412,0,0,0,0
ERR1135276,PIG-109,France,1.97891844091889,2.44407986473289,5.83590851163788,0,0,0,0,5.49118841188998,0,3.1389517702448,3.48222832281277,0,0,0,0
ERR1135277,PIG-110,France,0,0,5.75971262724132,0,0,0,0,5.60869542954708,0,3.41066271136541,4.20983642758421,0,0,0,0
ERR1135278,PIG_111,Denmark,2.76507188933268,3.24095423160882,5.63134205315669,1.69979008040944,0,0,0,5.75355390285087,0,2.77729076231267,3.33697257236338,0,0,0,0
ERR1135279,PIG_112,Denmark,3.88136384580668,3.02351544646764,5.43640295844101,2.29565495354451,0,0,0,5.70900609351774,0,3.43973669810935,5.30867432506528,0,0,0,0
ERR1135280,PIG_113,Denmark,3.92555481269233,3.47999642616244,5.28367023348647,0,0,0,0,5.64526623298767,0,4.1431814893865,5.53231043472828,0,0,0,0
ERR1135281,PIG_114,Denmark,3.96683215330667,3.52815536036565,5.407169682646,0,0,0,0,5.74830387367798,0,3.92565058435333,5.21330880411237,0,0,0,0
ERR1135282,PIG_115,Denmark,4.048599525261,3.33729526897614,5.4435467531946,2.28964259087242,2.25796480069615,0,0,5.63586106878338,0,3.92215060687369,5.42790465501691,0,0,0,0
ERR1135283,PIG_116,Denmark,4.58630921094639,3.04834297420283,4.52120106771513,0,2.90311345840954,0,0,5.82230742982784,0,4.15343520531926,5.39420375996353,0,0,0,0
ERR1135284,PIG_117,Denmark,3.81404430837443,2.71044184234063,4.97526363845214,0,0,0,0,5.44788467302741,0,3.87166627055053,5.78575806534788,0,0,0,0
ERR1135285,PIG_118,Denmark,4.29672380328555,2.15114410750544,5.73694286352248,0,0,0,0,5.58152442203656,0,4.6172634206712,4.05782966144146,0,0,0,0
ERR1135286,PIG_119,Denmark,4.43556350469271,2.5652988129676,5.64489848284063,0,0,0,0,5.6683810320538,0,4.64796143837436,4.31079783020186,0,0,0,0
ERR1135287,PIG_120,Denmark,3.30359088026829,2.50751260867082,5.76570078520233,0,0.989220262735033,0,0,5.46823702667681,0,4.1766449629721,5.02397607325231,0,0,0,0
ERR1135288,PIG_121,Denmark,3.76417766050293,3.00843938970407,5.49682754587967,0,0,0,0,5.82418579281521,0,3.99737546473951,3.34602551541388,0,0,0,0
ERR1135289,PIG_122,Denmark,3.85381125876427,3.8829899697124,5.53411950394101,0,3.09522837581056,0,0,5.76156713410787,0,4.5976422358053,4.39432769840926,0,0,0,0
ERR1135290,PIG_123,Denmark,4.29828429697235,3.13406516368488,5.47970179854294,0,1.38200143260605,0,0,5.77779275059317,0,4.2668900907331,4.77060526814212,0,0,0,0
ERR1135291,PIG_124,Denmark,3.3544561490732,3.1088313926953,5.78135868644772,0,2.33353920781741,0,0,5.58465469782956,0,3.61837316836322,2.61258174299677,0,0,3.44748913822976,2.17039246161066
