Sample_Names,Alias,Geography,Methanobacteriaceae,Brevibacteriaceae,Corynebacteriaceae,Dermabacteraceae,Dermatophilaceae,Micrococcaceae,Propionibacteriaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Chlamydiaceae,Deferribacteraceae,Deinococcaceae,Fibrobacteraceae,Planococcaceae,Staphylococcaceae,Aerococcaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Clostridiaceae,Eubacteriaceae,Lachnospiraceae,Oscillospiraceae,Peptostreptococcaceae,Ruminococcaceae,Erysipelotrichaceae,Acidaminococcaceae,Veillonellaceae,Fusobacteriaceae,Alcaligenaceae,Burkholderiaceae,Comamonadaceae,Oxalobacteraceae,Sutterellaceae,Neisseriaceae,Desulfovibrionaceae,Campylobacteraceae,Helicobacteraceae,Succinivibrionaceae,Enterobacteriaceae,Pasteurellaceae,Moraxellaceae,Pseudomonadaceae,Brachyspiraceae,Spirochaetaceae,Verrucomicrobiaceae,Cryptosporidiidae,Saccharomycetaceae,Enterocytozoonidae,Myoviridae,Podoviridae,Siphoviridae,Adenoviridae,Anelloviridae,Geminiviridae,Microviridae,Parvoviridae,Potyviridae,Retroviridae
ERR1135198,PIG-024,France,3.92151966015058,0,0,0,0,0,0,3.88358759803573,3.53418910410822,0,4.33416231592804,4.82298787136785,0,1.88903223674306,0,0,0,0,0,0,0,4.7352259811181,0,2.4687527951216,3.40315145234617,2.04154267486763,4.85716564893858,3.92606063229256,4.44637901253444,5.49478053725555,4.28563003082519,5.08185532572617,5.07450854351882,4.09761531253862,0,0,0,0,2.83588543849179,0,0,0,0,0,5.15265940191201,0,0,0,0,2.33559703839748,0,0,0,0,0,0,0,0.35282100301395,0,0,0,0,0,1.23787119474512
ERR1135199,PIG-025,France,3.90148900897058,0,0,0,0,0,0,3.49455950067863,2.75969831112137,0,4.11252630552614,4.93763394162303,0,0,0,0,0,0,0,0,0,5.32115101128942,0,2.62440365064057,0,3.44244746008724,4.9904904030494,4.04587835035696,0,5.33450012053016,3.26968705409177,3.62496913265166,5.52182808994755,0,0,0,0,0,0,0,0,0,0,0,3.84856365120756,0,0,0,0,3.73667354874547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808383738390515
ERR1135200,PIG-026,France,3.75384979774437,0,0,0,0,0,0,3.22778061937396,2.41884626503319,0,4.29388763980918,5.35551672754894,0,0,0,0,0,0,0,0,0,5.09562665350709,0,0,0,3.12371270573533,5.20988553210427,4.28376600011131,4.20269397247591,5.23833240712672,2.52322671334272,3.45873130563029,5.35449691133765,0,0,0,0,2.82241233798291,3.65111460270275,0,3.67891567623312,0,0,0,2.99468515477637,0,0,0,0,3.96793295103395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135201,PIG-027,France,3.99728850378272,0,0,0,0,0,0,2.96421978342034,2.42912505846666,0,4.4399891277972,4.69870185305858,0,0,0,0,0,0,0,0,0,4.82901990801554,0,0,0,4.16557184006402,4.59389089638999,4.59808957352232,3.9881289467797,5.54854486926765,3.1716015045127,3.8534669610933,5.36151608254367,0,0,0,0,0,4.25088154811693,0,3.94127183595961,0,0,0,5.06908218787664,0,3.17549830512109,0,0,3.50975140922435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135202,PIG-028,France,4.4429659246292,0,0,0,0,0,0,3.47054166198379,0,0,4.28060176224971,4.45850662023582,0,0,0,0,0,0,0,0,0,5.31092379652649,0,0,0,2.83920284770818,4.9073685751816,4.67144797890161,4.49274160429252,5.72135293210445,2.39438077203166,2.28653726472474,4.08549690611923,0,0,0,0,0,3.18128235672189,0,3.90151591260275,0,3.44879368796077,0,3.53968414878956,0,0,0,0,3.40721817911277,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02619808491264
ERR1135203,PIG-029,France,3.00370934004002,0,0,0,0,0,0,3.50269302653749,0,0,4.30748886857681,4.87488619828615,0,0,0,0,0,0,0,0,0,5.5080146511762,0,0,0,0,4.74508234239498,3.41062038635505,4.20809786100965,5.34916432949036,0,2.92245789675172,5.37308380084202,0,0,0,0,0,2.875314771943,0,0,3.62417429745383,0,0,4.507018959319,0,0,0,0,3.8220169100663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969746075107035
ERR1135204,PIG-030,France,4.77861958487876,0,0,0,0,0,0,3.64843905898531,2.86839520235554,0,3.96460000561731,3.95313901340666,0,0,0,0,0,0,0,0,0,5.31870403139628,0,0,0,0,4.79158065000428,4.85392941355324,4.13011091944838,5.70208436116654,0,2.13572452515748,4.36866485889115,0,0,0,0,4.08133549904105,0,0,4.22777531035821,0,0,0,3.27409578905654,0,0,0,0,3.54332895312527,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05832717688885
ERR1135205,PIG-031,France,2.19161058442392,0,0,0,0,0,0,4.57401705487429,3.39320047133261,2.32915070589474,4.08191175503426,5.27585982802751,3.92877031198776,2.08370284827092,2.33361864842366,0,0,0,0,0,0,4.62892844851705,0,0,0,4.03505248639503,4.65828703850032,3.76633304956488,3.20566414407779,5.29197462706531,3.31589102876781,5.19194180725874,5.38521091972144,0,0,0,0,0,3.66317054133609,0,3.47555401598847,2.01997536586496,0,0,4.59704067150785,1.43899083093579,0,0,0,2.05932216393366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190788875702646
ERR1135206,PIG-032,France,3.5621817808941,0,0,0,0,0,0,1.66253272038018,3.37789522688753,0,3.88220906564041,5.24933143100991,0,0,0,0,0,0,0,0,0,4.57181042975165,0,3.80261203388127,2.39070592767718,3.85896827826543,4.72286418305475,4.34974639460632,3.3846607763091,5.47025167507527,2.87829198486652,4.94536647709118,5.35177092753989,0,0,0,0,0,0,0,3.8297808548805,0,0,0,4.78330544750613,3.33692963532767,0,0,0,3.12231358255521,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26695405507452
ERR1135207,PIG-033,France,3.80081737153275,0,0,0,0,0,0,0,0,0,4.97507509234014,5.45453982403345,0,0,0,0,0,0,0,0,0,4.81384964005844,0,3.54128168540588,0,3.67606805562856,5.3500276616818,0,0,5.3797179026815,0,2.44308099481003,3.7044239110532,0,0,0,0,0,0,0,0,0,0,0,4.8464873505863,0,0,0,0,3.28355893462154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917676475374451
