Sample,ruralurban,Methanobacteriaceae,Actinomycetaceae,Micrococcaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Staphylococcaceae,Carnobacteriaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Clostridiaceae,Clostridiales_Family_XIII_Incertae_Sedis,Clostridiales_Family_XI_Incertae_Sedis,Eubacteriaceae,Lachnospiraceae,Oscillospiraceae,Peptostreptococcaceae,Ruminococcaceae,Erysipelotrichaceae,Acidaminococcaceae,Veillonellaceae,Fusobacteriaceae,Leptotrichiaceae,Oxalobacteraceae,Sutterellaceae,Desulfovibrionaceae,Aeromonadaceae,Succinivibrionaceae,Enterobacteriaceae,Pasteurellaceae,Spirochaetaceae,Synergistaceae,Verrucomicrobiaceae,Saccharomycetaceae,Myoviridae,Podoviridae,Retroviridae,Virgaviridae
18A,rural,0,0,0,0,3.4700633363482,5.79826036149075,4.71465137010025,4.74650325240071,5.11457719892256,0,0,0,0,0,2.44082405242791,2.83516635662391,0,0,3.56337695753775,4.41197864691729,3.11235623252393,0,4.8625591423345,2.23974850961669,0,3.79579356226001,2.9126124914097,0,0,3.08419994369606,4.19893499410388,0,0,0,0,0,0,3.28939647719442,0,0,0,0,0
1A,rural,0,0.838268568638338,0,3.94431451989223,4.0340727086209,4.72101652257534,4.49116360524422,5.63717540490028,4.39390491011909,0,2.15543722400732,0,4.76668482644962,0,4.68976839740041,3.82436152094705,0,0,4.4443605966363,4.64315775939883,2.37706507312826,2.50303817967009,5.16878908917659,1.57580835473046,0,4.69213407256098,0,0,0,3.55041252493366,3.16908241182935,0,0,4.67016382562463,3.42252980685499,0,1.76301023280769,2.72416228266291,0,0,0,0,0
20A,rural,0,0,0,4.30286634135868,3.43770393127247,5.74150201109656,4.58738048922203,5.23199327303685,4.20913820239338,2.34723868654236,1.38415997198621,0,0,2.01959696661267,3.36938580823917,3.94872640383216,0,0,3.4809770240798,4.96266086525472,0,2.45462360548004,4.28304067297591,3.35056853345923,0,4.57708296646961,1.49394537145053,0,0,2.20268201143425,4.23975952649092,0,0,4.2196098576836,2.48330327958517,0,0,0,0,0,0,0,0
21A,rural,2.48951676621324,0,1.14360589245183,2.76180029957552,3.21920744599787,5.61052493441279,4.57950656594703,5.49153211296141,4.71939527894012,0,0,0,0,0,2.07236624840373,2.14374082493236,0,0,4.71801204139683,4.65428972367345,3.25134920888108,2.32986901330139,4.78974746426476,2.34407213031801,0,3.62207631143956,0,0,2.38293051150708,4.29486480760459,3.16543377817046,0,0,3.18222711283532,2.70017850359407,0,0,0,0,0,0,0,0
24A,rural,0,0,0,2.78256077822793,2.48584232024092,5.50300215430018,5.00105196040165,4.41481839824791,5.34791596190229,0,0,0,0,0,3.1138950232217,2.27746015776501,0,0,4.04293080071369,4.04098485364608,3.04839121619695,1.76074397777003,5.14694249071126,0,0,5.01579621078413,0,0,3.057340353458,3.24502972767058,3.6247675752797,0,0,3.27071615294552,1.70921265059028,0,0,4.73208886011668,0,0,0,0,0
25A,rural,0,0,0,3.5538323634391,2.9665359863081,5.8877004350612,4.11787161500414,2.3001555666857,3.88075605821886,0,1.54359358250088,0,0,0,1.66046307223223,3.8423154758791,0,1.72390518284084,4.3126766739797,5.07280145559821,3.52608633144792,3.11704443154918,4.57053709325856,2.85708835348692,0,0,0,0,0,3.52771220348762,3.20305445831588,0,0,3.94269319878389,2.39476469846009,0,0,0,0,0,0.511766386797058,0,0
28A,rural,0,0,0,1.84720241789926,2.72229004835561,4.53085866150725,3.64706502684515,5.86371968479539,4.24484998953837,0,0,0,0,0,1.60953723950805,2.03352345519056,0,0,4.52828655606035,4.73605792012122,3.27234651309113,2.98912814670321,4.78558095262762,3.75105857400187,4.7019161353876,2.7058517484003,0,0,0,3.24193339372385,3.19761796660398,0,0,2.51534586889605,2.62174469399538,0,0,0,0,0,0,0,0
29A,rural,0,0,0,0,3.26613152887169,4.38951168297351,3.93892748284025,5.76637660490052,3.88666284514883,0,2.71748359667128,2.95943971901966,2.28439905448476,2.44790337173422,3.94731127398285,2.48248041433629,0,0,3.93445055514737,4.86118597842994,1.28472644226452,2.73064082240853,4.99219754708589,3.85263286617827,0,4.93716373936555,0,0,0,3.65040806357679,3.14477266701343,0,0,4.91093561973858,3.08957163694589,0,0,0,0,0,1.40399193553963,0,0
31A,rural,1.25622973762697,0,0,0,2.91552848626665,5.3512676926462,3.99945739404853,5.75336736371285,4.7065633792822,0,0,0,0,0,2.03668853183493,2.74787221755491,0,0,4.21683356625146,4.64199186986068,3.46029318421342,2.4793141915246,4.76286054945699,0,0,4.23564480270531,0,0,0,0,3.34754024524463,0,0,3.74206169583619,0,0,0,0,0,0,0,0.117209312938575,0
34A,rural,0,0,0,4.67680389363049,2.97369451208651,5.60498670496732,3.50560639134137,4.15517202547854,3.44476577862133,0,1.37580845275636,0,2.43944386515861,0,3.04530773100091,0,0,0,4.02954815877184,4.75931553939524,2.16435426773071,0,5.64120030600655,0,0,3.81858987982962,0,0,0,1.71636038723129,0,0,0,4.00164259842383,3.38407865610385,0,0,0,0,3.31055233709079,0,0,0
35A,rural,2.50506221390995,0,0,0,2.90101486984203,5.14665202840663,4.25960138799762,5.50801505069289,4.30590784756179,0,0,2.48309628775928,0,0,0.937047377169641,0,0,0,4.74797453802201,5.00027359689599,1.81658680886727,0,5.08704605223505,3.20138038850353,4.55047262487334,3.88130407248749,3.13413072178491,0,0,3.13732118312555,3.14808532092822,0,0,5.23121596666086,2.648102407026,0,0,0,0,0,0,0,0
37A,rural,3.52340022243033,1.32149649233422,0,2.75355745420532,3.28843276527035,3.66073699841474,3.56154961792984,5.58859379852069,3.91227825762688,0,0,3.19131177842135,4.04814373381878,3.80002693638764,4.77266589793958,0,0,0,4.94796285524612,4.4588649185031,0,0,5.28634072235198,3.88935340206492,4.63498827672428,4.03322920746866,0,2.37015139109003,0,3.18851207092276,2.66457889362453,0,0,5.11169346142168,3.88107961526593,0,0,0,0,0,0,0,0
39A,rural,0,2.01457182919184,0,1.54576967339415,3.53683497823239,5.73317948404962,4.59374858861473,3.8736713667834,3.74321071301971,0,1.89250146981705,0,0,0,3.08350190883636,4.21834257207499,2.21469689530684,0,4.90141927271178,5.31041719728232,2.50590154874858,3.73723409223909,4.84187595516896,2.51299538297647,0,3.18523160823274,0,0,0,4.23991169466172,2.3484394008509,0,2.55499142161733,3.7840487755816,0,0,0,0,0,0,0,0,0
3A,rural,0,0,0,2.68836116565576,3.96987780088823,4.67419833413337,4.86329806787583,5.74886195938053,4.7061688740432,0,0,0,0,0,3.04485281828717,1.2207684221846,0,0,5.10038558954756,4.25764396766112,3.3315904497542,0,4.83154794181822,3.95475928841659,0,4.46838625986318,0,0,0,3.40786702449758,2.38623305911057,0,0,3.26194762928761,0,0,0,0,0,0,0,0,0.683640774387524
6A,rural,0,0,0,2.25796148876247,3.70074629974738,5.79052638797192,4.39339312794795,0,4.36522196266821,0,0,0,0,0,0,2.86474627157419,0,0,4.7596853994475,5.14666468081384,3.34456445324647,2.91162237174323,5.0028643552291,2.07835312425094,0,3.95939731598548,0,0,0,2.84918922367962,3.71476580683956,0,0,4.09099181203063,0,0,0,0,0,0,0,0,0
7A,rural,0,2.00243282235766,0,3.18974910510893,3.22227097727377,5.27078694954764,3.82785439771627,3.92431767323492,3.64049398146488,0,2.21527366696998,0,0,0,4.57992968407693,1.86108626580633,2.19925700260592,0,4.83364939120686,5.3988662037364,1.48742015626185,2.75823689768347,5.62848164387948,3.33448442773215,0,3.16460346479563,0,0,0,0,2.32999686496845,0,0,3.46504264119086,2.94920735399055,0,0,0,0,2.30000624678491,0,0,0.686956983427579
