Sample,ruralurban,Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Bacteroidetes,Balneolaeota,Calditrichaeota,Candidatus.Bipolaricaulota,Candidatus.Cloacimonetes,Candidatus.Gracilibacteria,Candidatus.Korarchaeota,Candidatus.Micrarchaeota,Candidatus.Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Chrysiogenetes,Coprothermobacterota,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus.Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Verrucomicrobia,candidate.division.Zixibacteria
11A,rural,2.01618742949233,4.15445987864049,1.51552696242335,1.51054504728505,5.69486256659101,1.0301562349566,0.820013729529479,0.326628433863576,0.639913204057148,0,0.137926533168068,0.137926533168068,1.7971191271085,1.34110467540923,2.15774454223754,2.08275977028425,0.675603816196262,0.982163542028098,1.59662331021639,2.84719505186429,1.92613415738577,2.04493158406345,0.820013729529479,1.13702240561273,2.77395878807099,1.54888644342988,5.62354059725938,2.42857831446178,1.29425625547089,1.14870549410869,1.31831186625911,1.05943722277458,1.72699876547818,2.75525766296248,4.81950010345537,2.63095308846268,1.61275867296029,2.39329523068006,1.56243452713202,1.68550718944273,1.81982589110379,2.35703597813769,0.558308511145562
120A,urban,1.81185908411335,3.96541473627881,1.32930389826007,1.18370112607567,5.76023254159659,0.963075526346627,0.963075526346627,0.286775176837138,0.380777207389742,0.230848503112205,0,0,1.36579150952155,1.49694545780553,1.93864361888702,2.00168332647788,0.864159917843842,0.492018875264806,1.43443722324165,2.59587525994173,1.33403605095008,2.14874223023422,0.928567809955267,1.23979597492269,2.49158052263564,1.14182658607227,5.58255256947784,3.5411195426667,1.26808913920374,1.49694545780553,1.13443745082713,1.11148438704745,1.44550019178461,2.48630939868622,4.40781013052563,3.14435864848002,1.56560944430923,2.25784244579844,1.22794160166791,1.19030386603815,1.75860189055451,2.16709713830743,0.716786792179681
13A,rural,1.34098615616381,3.85104256795421,1.32317366792626,0.655580803419367,5.82864514886951,1.04662170151095,0.274423795052614,0.08646230448553,0,0,0,0.08646230448553,1.31398574931573,1.31398574931573,1.75044870467764,1.70195193968409,0.405178158575775,0.405178158575775,1.55126941213593,2.48429599497141,1.84478841593818,1.7768236765548,0.732856597549869,0.695935187681753,2.39125352806058,1.29982879913611,5.47326152456532,3.80116811238131,0.917479285975852,1.34962572058991,1.3186040055778,1.13914514216597,1.00137903167726,2.29701088550553,4.12870860023749,2.38852465593586,1.24899964480003,2.12513312813132,0.881306862572068,0.58700819557632,1.82663429051727,2.12369634900289,0.08646230448553
15A,rural,1.99093384989922,4.23772337897604,1.62202754426957,1.20871149793674,5.74904619208324,0.806146797560891,0.965099418403116,0.583007704150318,0.180194471523371,0.358999825307939,0,0,1.57415840944915,1.42670571799296,1.93243490356598,2.03943181348135,0.750365847460861,1.18748395373951,1.49252279548939,2.76055553607568,1.52703909393459,2.14243981747278,0.885650031418433,1.15746335635544,2.51730753292267,1.29031535389351,5.56066037675091,2.46585330114449,1.08120834744114,1.46278769771787,0.988651050149726,1.39190502564039,1.3389877951511,2.5028169329294,4.73716673109396,2.5617774516862,1.66994215531025,2.58821647668809,1.28455457365437,1.20175030121156,1.92718481118444,2.25329890427516,0.520362488707393
18A,rural,1.86493914017229,3.9929434914221,1.4138046337319,1.43035574346788,5.88984342034829,1.16430081946786,0.701491250330186,0.399832314039469,0.0975416980337812,0.244390536194325,0.0975416980337812,0,1.38773160340108,1.43035574346788,1.95614877043536,1.96453607598686,1.01356689931655,0.762271059308893,1.314750043568,2.60411430835188,1.51158168638603,2.12287608337119,0.546319855883459,0.957042992503656,2.45492462455842,1.25824742020765,5.27839437140529,3.22865053007959,1.28173769475043,1.30941931966884,1.20023055865606,2.15311551791249,1.48734622275674,2.52818471722413,4.25743125283859,2.43409909774029,1.82428779281858,2.23230046665433,1.0540227867351,1.04425660616166,1.8752634285406,3.32809866989519,0.514066059819211
1A,rural,2.28908193367561,4.77055660412027,1.65093146258934,1.21932195960082,5.40454718829041,0.680089936499883,0.973875900229452,0.680089936499883,0.973875900229452,0.491928879559776,0.152536079964578,0,1.78358241673207,1.86307620526389,2.31550057034703,2.37642395602009,1.01105530206337,0.933213079878406,1.51269464477699,3.02139636710448,1.96527614645143,2.36867370043614,1.19668340152524,1.66696240368041,2.85052544402207,1.6342860224835,5.74543481815605,2.57560661981683,1.68620316786206,1.67860884473396,1.56548029273236,2.40323266227104,1.80700392207408,2.89368711855012,5.09289040289125,2.68831074817304,1.97312352965922,2.63750348059851,1.32631315726636,1.50132151163156,2.07797980762537,3.01065239192097,0.911358678522312
20A,rural,1.70718031425509,4.46669317536267,1.17104214353682,0.898358166796191,5.82973348037731,0.966206037712169,0.325320631033922,0.885943269555304,0.771309607987909,0,0,0,1.54001031865649,1.33725812768667,1.83614699232931,1.7471044936179,0.700199908801661,0.50921595786578,1.29025347154802,2.50045485682202,1.32368307232852,1.76075816378956,0.873163005507711,1.59748378578902,2.29892481300212,1.18391410146823,5.42084386467309,2.55284695565532,1.05999748228126,1.08459413659936,1.06835211074913,1.1577769930887,1.26992811377758,2.38354751400702,4.46768740051857,2.29255231767636,1.45036027195507,2.10911165989049,1.05147897608709,1.22038792117757,1.69562331039094,2.09997603995367,0.36885564375273
21A,rural,2.03713030572208,4.15156138488994,1.53971560356307,1.50820222762901,5.8702342960253,1.08696441414155,0.829951756703645,0.534698148694275,0.450090799814278,0.57152929793751,0,0.114998421095417,1.49995315918774,1.34080450523244,2.19289013522616,2.1021217141406,0.76719986133481,0.867255465936884,1.7961710309943,2.77862474703931,1.96354517879584,2.27497517306351,0.990858062672468,1.2691251367152,2.93181589227512,1.23217215476007,5.33262679226701,2.4791916348967,1.5040972786524,1.53204903239099,1.3347556169766,2.24081255369789,1.55096752463617,2.67488253118512,4.3811193850977,2.67209016714931,2.27914911657531,2.66417466010639,1.28987610913721,1.30317895679642,2.01986959659049,2.43072241384432,0.76719986133481
24A,rural,1.93681198920391,3.90573923406124,1.42721518699059,1.16778089260025,5.81251192389268,0.699768743763423,0.965174378200045,0.521284342088875,0.521284342088875,0.661546045754684,0,0.152906163935131,1.28685903686809,1.543729548434,1.89687311496252,2.10371281386556,0.797632333568292,0.492775403420772,1.54110126117908,2.69235688694534,1.3187937276825,2.24585533949361,1.08577455782255,1.08577455782255,2.49272518986995,1.08577455782255,5.46280645710312,2.43413246615591,1.21494406582049,1.13547120936149,1.23138846245586,1.53042610415255,1.4665034425914,2.52726647055681,4.19557235155735,2.46094243687821,1.68174217583495,2.58263988653348,1.22597588765975,1.13547120936149,1.86179512253069,4.52620601529303,0.71768839365763
25A,rural,1.42434866524869,3.88257078230258,1.13627979418247,0.999037287904085,5.85040979124052,0,0.615185206297312,0.143121523954531,0.37405065601788,0.200169651595825,0,0.200169651595825,1.44612647236677,1.42434866524869,1.55315946075757,1.48665661025895,0.707449836172027,0.336664797187008,1.48388374823296,2.4334683187294,1.47545732863683,1.57849346421197,0.497880032704351,0.823471197341431,2.22295139417757,0.860066319115986,5.42362349658186,2.29435927912921,0.739487584917794,1.25947516816079,0.37405065601788,0.739487584917794,1.16037205507708,2.14479604740823,4.22747677870926,2.33421857016915,1.18872154674791,2.20217086467309,1.3700436279512,0.935086956253758,1.69886466170369,1.90014126874922,0.571987174016672
28A,rural,2.51246921896618,4.24987329272922,1.9377116568906,1.85121628865584,5.72831202841643,1.4498454452202,1.15152846966187,1.29971025531354,1.72326891615735,0,0.880103750195688,0,1.64166566393731,2.08062661464291,2.70324880164914,2.60424704268622,1.17605144229865,1.50908208319695,2.05618976184316,3.24730955879699,2.30518243236135,2.5897756845387,1.35043529694287,2.30340773059728,3.1118719054515,2.03361796878973,5.58895804854023,2.80951711982873,1.77426029064194,1.87569988288369,1.76820430343613,1.66548407159419,2.03691522825067,3.18097662724997,4.68050133718933,3.07134115205195,1.98830685401314,2.80617729462591,1.90336707577018,1.95787481377387,2.42512716149318,2.76702593002861,1.15152846966187
29A,rural,2.54228448208756,4.18617175145505,1.81375766055148,1.50216365473173,5.66882302868057,1.7734580722985,0.999030805299247,1.38175631118477,1.6367233567509,0.21517867707675,0,0.3584164494664,2.4460848659515,1.90241402746338,2.49595484675764,2.4031498714304,0.830677439116048,0.739481692833369,1.99047648037404,3.14699731519023,2.09385176471548,2.43497593640261,1.02608252605856,2.25968153342624,3.04321166852685,1.93595155716179,5.449734949392,2.79895405156481,1.73419944230218,1.61699706371414,1.50216365473173,2.76729860868676,1.81801300479115,3.02703026340217,5.35641052096115,2.92779540400101,2.10273519520795,2.61697367851069,1.78731095316244,1.72903286353878,2.12208245838577,2.63152738448259,1.14067448994869
31A,rural,2.09590431353142,3.96071509365945,1.47207773157031,1.59834884749554,5.78969049128453,0.941110218524037,0.810086780233196,0.373731629656815,0.515091528525841,0.162809077719144,0,0,1.90384159992624,1.76909702146264,2.48533661377543,2.32919573871123,0.450137828343535,0.571582632778519,1.43742589404335,3.00246672715299,2.16053732858167,2.17923685759968,0.917878730939165,1.76909702146264,3.05961825490152,1.66301378799652,5.51745345951976,2.61554136894265,1.49793674046532,1.71168030512645,1.43742589404335,1.63188375574087,1.67151308298242,2.85983621986879,4.59121588359947,2.75307761158135,1.73045156985548,2.59695801731155,1.51636818910863,1.52823511164902,2.24689301041847,2.66737427537383,1.0416305485071
34A,rural,1.83237959281504,4.91250367642209,1.39186830754451,0.907076344755095,5.71218542813002,1.00273900125592,0.856701604751782,0.220935568816458,0.56260967087596,0.275131882076143,0,0,1.51336288204492,1.54459527491638,1.82954590690595,1.875371089243,0.67741896379544,0.962797543805747,1.35954094015055,2.6054123490984,1.35954094015055,2.03780898546763,0.768135931547143,1.07304749795838,2.45795082282451,1.35532542799272,5.57654804857871,2.31787069295709,0.993092708169718,1.45009201612401,1.06485669074251,1.00273900125592,1.26631093465935,2.34080404739352,4.36415102159889,2.470477606058,1.50444016070112,2.318793228672,0.952210604885515,0.918807215573457,1.77830875489826,2.23688704908633,0.751445491088583
