Sample,ruralurban,Methanobrevibacter,Actinomyces,Rothia,Alloscardovia,Bifidobacterium,Gardnerella,Scardovia,Adlercreutzia,Atopobium,Collinsella,Eggerthella,Gordonibacter,Slackia,Bacteroides,Barnesiella,Butyricimonas,Coprobacter,Odoribacter,Parabacteroides,Paraprevotella,Prevotella,Alistipes,Gemella,Staphylococcus,Granulicatella,Enterococcus,Lactobacillus,Leuconostoc,Weissella,Lactococcus,Streptococcus,Butyricicoccus,Clostridium,Parvimonas,Flavonifractor,Eubacterium,Anaerostipes,Blautia,Coprococcus,Dorea,Roseburia,Oscillibacter,Anaerotruncus,Faecalibacterium,Ruminococcus,Subdoligranulum,Catenibacterium,Coprobacillus,Eggerthia,Holdemania,Solobacterium,Acidaminococcus,Phascolarctobacterium,Anaeroglobus,Dialister,Megamonas,Megasphaera,Mitsuokella,Veillonella,Fusobacterium,Leptotrichia,Oxalobacter,Parasutterella,Sutterella,Bilophila,Desulfovibrio,Aeromonas,Succinatimonas,Citrobacter,Cronobacter,Enterobacter,Escherichia,Klebsiella,Morganella,Plesiomonas,Salmonella,Shigella,Actinobacillus,Haemophilus,Borrelia,Pyramidobacter,Akkermansia,Ahjdlikevirus,P22likevirus,Gammaretrovirus,Tobamovirus
11A,rural,0,1.72919352667342,1.93193790772195,0,2.47452226009934,0,0,2.77024313668268,0,3.37016980284784,0,0,0,5.28747833024186,0,0,0,2.7511697085961,4.54372662238177,3.9060973180268,5.62590226953428,3.45586692226346,0,0,0,0,4.18795713866414,0,0,0,4.20911642589744,0,1.71290981147306,0,0,4.79347411934051,0,4.46551357501487,3.9259492545464,3.91774446825633,4.36493654815605,2.71528862197935,0,4.83604701320333,3.97485322568662,4.04799112375722,0,0,0,0,0,2.65898453763388,4.29662888426915,0,0,4.4093349503407,3.95932842841365,0,3.5301975846587,0,0,0,0,0,3.35328509861354,2.93204234631035,0,1.80702234029479,0,0,3.67420193340666,3.32049155069311,4.10443811322791,0,0,0,0,0,1.93026459220835,0,0,0,0.5975799627532,0,0,0
120A,urban,0,0,0,0,2.87128060316739,0,0,2.16004864634238,0,3.05502412893292,0,0,0,5.73244465915717,3.7675698601113,0,3.28319021595868,4.28781077261496,4.83607886382126,0,0,5.02137689329985,0,0,0,0,0,0,0,0,0,0,2.86826453867119,0.662934160195613,0,4.79932982088797,1.25479536377866,3.52527373974489,3.03239470254825,2.84174532820396,4.18600938539646,3.88682394777815,0,5.12201542555386,3.71630733484657,3.74591556792194,0,0,0,3.04607315581884,0,0,0,0,0,0,0,0,0.977271589738867,3.22210120808893,0,0,3.25081244401191,0,3.83798139909469,0,1.60598636520069,0,0,0,2.89780497898779,3.88596761961009,2.87113029637031,0,0,0,2.42988447279905,0,2.46189451627054,2.86644479451205,0,0,0,0,0,0
13A,rural,0,0,0,0,2.94359392500205,0,0,0,0,0,3.45996627586678,2.47987483917269,0,5.80930731217404,0,0,0,0,4.24586628256082,0,1.81432519027237,4.79988021392809,0,0,1.33079447511949,0,0,0,0,0,3.22970769866852,0,4.84227369979383,0,2.9371691789423,4.42863237665189,2.13484196878348,4.53362355719792,0,0,4.6721018798525,3.35047164588204,0,4.74452640661272,0,0,0,2.51118293145243,0,3.02002679793491,0,0,0,0,4.19204239937465,0,0,0,3.83748510872794,3.6754121246165,0,0,0,0,0,0,0,0,0,0,0,3.13599531705223,3.28731512766029,0,0,0,0,0,2.83774793937999,0,0,0,0,0,0,0
15A,rural,0,0,0,0,3.68657747875611,0,0,2.45973097608655,0,3.58286543188621,0,0,0,5.60587727226089,4.07447957300431,0,0,4.01909231159369,4.44264045974498,0,0.984001902401748,4.74727483715568,0,0,0,0,1.97415233892937,0,0,0,3.2347168673636,0,0,0,0,5.32642375043192,0,3.71817865831696,3.69077118744269,3.86291766568517,4.82506747538737,3.01346126459883,0,4.88640261158122,3.57851414976895,3.92067169801783,0,0,0,1.90797308201972,0,0,4.39207898723041,0,0,4.30865725919219,0,0,2.95359865621992,0,0,2.2678389158011,0,0,3.54441087996898,0,0,0,0,0,3.28682156816024,4.30904107583874,4.21541943992977,0,0,0,0,0,3.69242470237172,0,0,0,0,0,0,0
18A,rural,0,0,0,0,0,0,0,2.34512414828266,0,3.29653275609143,2.10904074703632,2.85797618701514,0,5.79207600718579,4.33539997972232,0,2.09195641010837,4.10110999376007,4.266068989722,4.83587747313317,0,5.10839288254879,0,0,0,0,0,0,0,0,2.41394827708017,0,2.96752123180205,0,1.70871655531614,3.60348661231543,0,3.71725590522497,3.6836424027998,3.17001227075639,4.2164031141214,3.10617667705849,0,4.5103593505974,4.45924498062023,3.31330884948842,0,0,0,2.40368112320805,0,0,0,0,0,3.67525862511955,0,0,0.754571604256827,2.90643574402954,0,0,3.09334122361714,0,4.33347802868408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13778795581233,0,0,0,0
1A,rural,0,0.908368364817154,0,0.783179726280085,4.02934771784856,0,1.32796139497905,2.33301720907886,0,3.97775072394063,0,0,2.86133607510387,4.73502171392396,2.19067952951971,0,0,3.61476566748472,4.58481139660875,3.53596885692774,5.62768530972965,4.40790980703749,0,0,2.14691079247811,0,4.810132469952,0,0,0,4.68311672356582,0,3.97711679535311,0,0,4.50467294312337,0,3.98066107494634,4.0534183874963,3.99160275658537,4.2200666923461,2.39101267997074,0,4.89045430560887,4.7132252744193,3.56345255598697,0,0,0,1.40372774097498,1.24456385095364,0,0,0,4.17219040745752,4.28030024143656,0,0,3.1605484366463,0,0,0,0,3.35762763057252,2.62614892277666,3.15411123644921,0,0,0,0,2.97059460853616,3.53081088348264,4.20369326846949,4.49054040011626,0,0,0,0,3.35891424724984,0,1.81211366102403,2.59297390960983,0,0,0,0
20A,rural,0,0,0,0,4.35780528516159,0,0,0,0,3.38290951405289,1.67984464871913,0,0,5.72410681586747,0,0,0,0,4.71115513754904,4.85038156398665,5.00875618815013,4.19174407150285,0,2.35789579081036,1.34620014033972,0,0,0,2.00953836812028,1.60247500779729,3.32408998639275,0,4.07009371337683,0,2.50096461307046,3.50987959625658,1.82118348480902,4.21607867216589,0,4.15731773071677,4.83678358557715,0,0,4.16493037087363,0,2.97203565384502,0,3.31156601852825,0,0,0,0,0,2.24853670163315,0,4.42976164349058,0,0,2.84148939674529,1.47711890132366,0,0,0,0,4.3630913152621,0,0,0,0,0,0,4.23728144003259,3.24646300423278,0,0,0,0,0,2.38865202277485,0,0,0,0,0,0,0
21A,rural,2.53456034667127,0,1.06730204465545,0,2.83922422781345,0,0,1.90002551503916,0,3.17464593033635,0,0,0,5.61567077109982,0,0,0,4.4278811536002,4.22399834995259,0,5.47586281106817,4.72454103055965,0,0,0,0,0,0,0,0,2.05721223532122,0,2.28692243536607,0,0,4.76947168332445,2.51506157959546,3.56835295034098,3.96688174535717,3.79362325896554,4.43965751305454,3.25649219037574,1.92547140254086,4.5926304958792,4.1075585524077,3.21151793242873,0,0,0,2.51937554256293,0,0,0,0,0,3.45161596962934,0,0,2.5851109611921,0,0,2.14208075676391,2.35841238456641,4.27930303219106,3.3112376659274,0,0,0,0,0,2.09984058522562,2.98722383541753,2.93312063317791,0,0,0,0,0,2.62771864500279,0,0,0,0,0,0,0
24A,rural,0,0,0,0,2.83074025843461,0,1.73426473431046,0,0,2.44219409527686,0,1.50915418696797,0,5.52132054405464,4.61492432034963,0,2.39676376227861,3.76556173097705,4.84472007810814,4.52536888256755,2.29632642874837,5.36623432748007,0,0,0,0,0,0,0,1.67941302413604,3.09698776396437,0,2.4338546637967,0,0,4.10755919748998,0,3.05532492264773,3.2109838156581,3.18671802062625,3.93821474355969,3.06669361585461,1.84526915299304,5.0511351125798,2.59561332239102,4.04676677650199,0,0,0,0,0,0,0,0,3.81963105793337,4.84036658133651,3.6159890170534,0,3.00297440054937,0,0,2.82848361047146,2.54108023853525,0,3.78378587733469,0,0,0,0,0,2.7144319598212,2.87221105070577,3.09769840437303,0,0,0,0,0,1.65198960982441,0,0,4.60487875233995,0,0,0,0
25A,rural,0,0,0,0,3.63109776866684,0,0,0,0,0,3.10672078217859,0,0,5.89264075860525,0,0,0,0,4.26398019809776,0,2.28452741741642,3.88569574167861,0,0,1.52837572751862,0,0,0,0,0,1.64564093820692,0,3.98373956010481,1.58585672621901,2.7337854736708,4.36392621018362,2.31331245187358,4.67028400065944,0,3.3612922713972,4.72015467105258,3.53102519849469,0,4.45619376996797,0,3.53114153467755,0,1.79691131872802,0,2.15102058643239,0,0,0,0,0,0,0,0,0,0,0,0,3.54799655828628,0,3.34868467474237,0,0,0,0,0,0,4.01166352933983,2.29716937893082,0,0,0,0,0,2.32234180909438,0,0,0,0.281020253080035,0,0,0
28A,rural,0,0,0,0,1.93825991610616,0,0,0,0,2.6046420269559,2.2164436812891,0,0,4.55079012746586,0,0,0,2.55091988103476,3.77422676590428,2.92810567411504,5.86245083925475,4.26478092070467,0,0,0,0,0,0,0,0,1.60696836392889,0,2.19218315642599,0,0,4.59453125181368,2.38839724819405,4.07242534452907,4.47959980709633,3.65014403593511,3.9988270944882,3.29226814688718,0,4.66959602306694,3.50464752835385,3.654873297047,0,0,0,2.50056185035597,0,0,4.71210291575892,0,0,0,0,0,2.56045261448292,0,0,0,3.27720673543612,0,3.35821634553409,0,0,0,0,0,0,2.60634203158851,0,0,0,0,0,0,2.56420788135621,0,0,0,0,0,0,0
29A,rural,0,0,0,0,0,0,0,0,0,3.2523548454928,0,0,0,4.40734043603365,0,0,0,2.51579967698294,4.08221390623211,3.81579945650297,5.75962715847818,3.9044900429045,0,0,2.71306947688855,3.1450167827138,2.33112286783404,0,2.4733162674084,2.4970749760964,3.93017475913024,0,2.63868435442033,0,0,3.99857813190273,0,3.46886343737944,4.2738111763634,3.50617861235434,4.77595539940015,1.30164812598201,0,4.82646528824242,3.79498645980073,4.18419736835175,3.30056022843329,0,0,0,1.30164812598201,0,0,0,4.70883709930077,3.45044192709416,0,0,3.45239033909125,0,0,0,0,0,3.30330914703175,0,0,0,0,0,3.68266696653483,4.30468197390386,4.94923859024313,0,0,0,0,0,3.0298738863538,0,0,0,0,1.3916663052607,0,0
